code,name,industry,report,profit,operation,growth,debtpaying,cashflow
002901,大博医疗,医疗保健,2.38,4.29,3.67,3.50,3.50,5.20
603507,振江股份,钢加工,2.38,3.29,3.50,2.00,3.50,1.00
000886,海南高速,路桥,2.38,3.43,4.00,1.50,3.50,5.60
300345,红宇新材,钢加工,1.25,2.14,4.00,1.33,3.50,1.00
603658,安图生物,医疗保健,3.38,4.71,3.50,4.83,3.50,5.40
002062,宏润建设,建筑施工,2.38,4.00,3.50,3.50,3.50,4.00
002128,露天煤业,煤炭开采,2.38,5.43,3.50,3.50,3.50,1.00
002001,新 和 成,化学制药,2.38,5.71,3.50,6.00,3.50,4.80
002465,海格通信,通信设备,2.12,3.00,3.50,2.83,3.50,1.00
002317,众生药业,中成药,3.25,4.57,3.50,4.00,3.50,1.00
002756,永兴特钢,特种钢,3.25,4.14,3.67,4.17,3.50,1.00
300667,必创科技,电器仪表,2.00,3.57,3.83,4.33,3.50,1.00
603806,福斯特,塑料,2.38,4.29,3.50,2.67,3.50,1.00
603776,永安行,公共交通,2.50,4.29,3.50,2.33,3.50,5.00
601360,三六零,互联网,3.62,4.57,3.67,5.83,3.50,5.20
300732,设研院,建筑施工,2.38,4.71,3.67,3.00,3.50,1.00
603059,倍加洁,家居用品,2.50,3.71,3.50,2.67,3.50,1.00
300695,兆丰股份,汽车配件,2.38,4.43,3.50,3.83,3.50,4.80
002008,大族激光,电器仪表,3.75,5.14,3.50,5.17,3.50,1.00
300271,华宇软件,软件服务,2.75,3.86,3.50,5.00,3.50,1.00
000536,华映科技,元器件,1.00,1.71,3.50,1.83,3.50,3.60
601600,中国铝业,铝,2.00,3.86,3.67,2.67,3.50,4.20
000036,华联控股,全国地产,2.25,4.14,4.00,2.33,3.50,5.00
300147,香雪制药,中成药,2.62,3.57,3.50,3.00,3.50,1.00
000708,大冶特钢,特种钢,3.25,4.43,3.83,4.17,3.50,1.00
002468,申通快递,仓储物流,3.38,4.86,3.67,4.17,3.50,1.00
600079,人福医药,化学制药,2.38,4.43,3.50,4.17,3.50,1.00
300246,宝莱特,医疗保健,2.88,3.86,3.50,4.00,3.50,1.00
002221,东华能源,石油贸易,3.62,4.71,4.00,4.67,3.50,1.00
002849,威星智能,电器仪表,3.00,3.71,3.50,4.50,3.50,1.00
600030,中信证券,证券,2.38,4.71,1.00,3.33,3.50,2.80
600121,郑州煤电,煤炭开采,1.88,3.57,3.50,2.33,3.50,4.00
002730,电光科技,电气设备,2.12,3.00,3.50,3.00,3.50,1.00
603416,信捷电气,电气设备,2.38,4.14,3.50,3.50,3.50,1.00
000830,鲁西化工,农药化肥,4.12,5.43,3.83,5.00,3.50,4.40
601179,中国西电,电气设备,2.00,3.86,3.50,1.33,3.50,1.00
600448,华纺股份,纺织,2.38,2.57,3.50,3.83,3.50,4.40
300104,乐视网,互联网,1.00,1.57,3.83,1.33,3.50,1.00
300374,恒通科技,其他建材,2.38,3.29,3.50,4.83,3.50,1.00
600036,招商银行,银行,4.00,4.86,1.00,3.83,3.50,1.00
300656,民德电子,电脑设备,2.38,3.71,3.50,4.17,3.50,1.00
002092,中泰化学,化工原料,2.50,4.57,3.67,3.17,3.50,4.00
002377,国创高新,石油加工,2.12,3.71,3.67,4.67,3.50,1.00
000738,航发控制,航空,2.38,3.57,3.50,3.33,3.50,1.00
601799,星宇股份,汽车配件,3.38,4.86,3.50,4.00,3.50,4.00
000560,我爱我家,房产服务,3.50,4.14,3.50,6.00,3.50,1.00
600549,厦门钨业,小金属,2.38,3.43,3.50,3.00,3.50,1.00
002828,贝肯能源,石油开采,1.00,1.71,4.00,3.67,3.50,1.00
300277,海联讯,软件服务,2.00,1.71,4.00,2.33,3.50,1.00
600570,恒生电子,软件服务,2.88,4.14,3.50,4.50,3.50,1.00
300088,长信科技,元器件,2.62,4.00,3.50,3.00,3.50,5.00
300725,药石科技,化工原料,2.38,4.14,3.50,3.83,3.50,5.40
002095,生 意 宝,互联网,2.88,3.43,4.00,3.17,3.50,6.00
300369,绿盟科技,软件服务,1.00,2.14,3.83,3.83,3.50,1.00
002858,力盛赛车,文教休闲,1.00,1.57,3.50,3.67,3.50,1.00
600655,豫园股份,百货,3.25,4.57,3.83,3.33,3.50,4.20
603938,三孚股份,化工原料,2.75,4.43,3.50,4.33,3.50,5.40
300061,康旗股份,医疗保健,1.88,3.29,3.50,2.83,3.50,1.00
603506,南都物业,房产服务,3.00,4.00,3.67,3.50,3.50,1.00
300149,量子生物,食品,1.75,3.29,3.50,3.00,3.50,5.00
000898,鞍钢股份,普钢,3.62,4.71,3.83,3.67,3.50,1.00
603816,顾家家居,家居用品,2.38,5.43,3.50,4.67,3.50,4.00
300392,腾信股份,互联网,1.38,2.43,3.33,3.17,3.50,4.60
002449,国星光电,半导体,3.25,4.14,3.50,4.17,3.50,4.00
600295,鄂尔多斯,小金属,3.50,4.86,3.50,3.67,3.50,4.80
002168,深圳惠程,电气设备,2.62,4.86,3.50,4.00,3.50,4.00
000822,山东海化,化工原料,2.38,4.29,3.67,3.00,3.50,4.60
002088,鲁阳节能,矿物制品,3.50,4.43,3.50,4.17,3.50,1.00
000552,靖远煤电,煤炭开采,2.38,4.29,3.50,3.83,3.50,5.00
300339,润和软件,软件服务,2.25,3.57,3.50,4.17,3.50,1.00
000050,深天马Ａ,元器件,2.38,4.43,3.50,5.67,3.50,4.20
300188,美亚柏科,软件服务,2.38,2.71,3.50,3.17,3.50,1.00
000027,深圳能源,火力发电,1.62,3.29,3.50,2.17,3.50,4.60
300639,凯普生物,医疗保健,2.25,3.71,3.50,4.50,3.50,1.00
603963,大理药业,化学制药,2.00,3.86,3.50,2.67,3.50,5.00
600482,中国动力,电气设备,2.25,4.14,3.50,2.17,3.50,4.00
002438,江苏神通,机械基件,2.25,3.29,3.50,3.67,3.50,1.00
600566,济川药业,中成药,2.38,5.57,3.50,5.00,3.50,5.60
600567,山鹰纸业,造纸,3.25,4.57,3.50,4.67,3.50,1.00
000959,首钢股份,普钢,3.00,4.29,3.83,2.17,3.50,4.40
300722,新余国科,专用机械,2.12,3.43,3.50,3.00,3.50,1.00
300227,光韵达,元器件,2.88,3.43,3.50,5.67,3.50,5.20
300427,红相股份,电气设备,2.38,4.29,3.50,4.67,3.50,1.00
603730,岱美股份,汽车配件,3.00,4.86,3.50,4.17,3.50,4.80
000888,峨眉山Ａ,旅游景点,2.50,3.29,3.67,3.00,3.50,5.00
600325,华发股份,区域地产,3.00,4.86,4.00,2.33,3.50,4.20
300335,迪森股份,供气供热,3.38,4.43,3.50,4.83,3.50,1.00
600391,航发科技,航空,1.00,2.00,3.67,2.00,3.50,3.40
600970,中材国际,建筑施工,3.00,4.29,3.50,3.67,3.50,1.00
603197,保隆科技,汽车配件,2.88,4.71,3.50,4.33,3.50,5.00
601800,中国交建,建筑施工,3.25,4.57,3.50,3.50,3.50,1.00
603703,盛洋科技,通信设备,1.00,1.86,3.50,1.17,3.50,4.20
000923,河北宣工,铜,1.88,3.86,3.50,3.17,3.50,4.00
600199,金种子酒,白酒,2.25,3.00,3.50,2.33,3.50,1.00
002448,中原内配,汽车配件,2.12,3.86,3.50,2.83,3.50,5.00
002046,轴研科技,机械基件,1.50,2.71,3.50,3.17,3.50,1.00
002583,海能达,通信设备,1.00,2.43,3.50,4.33,3.50,1.00
002145,中核钛白,化工原料,2.00,3.57,3.50,2.33,3.50,5.00
600765,中航重机,机械基件,1.88,3.43,3.50,1.33,3.50,1.00
002738,中矿资源,建筑施工,2.25,2.43,3.67,4.00,3.50,1.00
000528,柳 工,工程机械,3.88,5.00,3.50,4.83,3.50,4.00
603912,佳力图,专用机械,2.62,4.00,3.50,2.67,3.50,1.00
002693,双成药业,化学制药,1.00,1.86,3.50,3.83,3.50,4.20
000797,中国武夷,全国地产,1.88,3.57,3.83,3.67,3.50,1.00
600749,*ST藏旅,旅游景点,1.00,1.29,3.67,3.17,3.50,1.00
300326,凯利泰,医疗保健,2.88,3.86,3.50,4.17,3.50,1.00
600062,华润双鹤,化学制药,3.50,5.29,3.50,4.00,3.50,5.40
300633,开立医疗,医疗保健,2.88,3.57,3.50,4.83,3.50,1.00
002847,盐津铺子,食品,2.62,4.43,3.50,3.50,3.50,1.00
002802,洪汇新材,化工原料,2.38,3.71,3.50,4.17,3.50,1.00
600093,易见股份,仓储物流,3.38,4.71,3.67,4.00,3.50,4.80
603766,隆鑫通用,摩托车,2.38,4.43,3.50,2.67,3.50,4.00
002627,宜昌交运,公共交通,1.75,3.43,3.67,4.33,3.50,1.00
603008,喜临门,家居用品,2.88,4.00,3.50,4.33,3.50,1.00
300527,中国应急,专用机械,2.50,2.57,3.50,3.33,3.50,1.00
002601,龙蟒佰利,化工原料,2.88,5.00,3.50,3.00,3.50,1.00
300173,智慧松德,轻工机械,2.88,3.00,3.83,3.83,3.50,1.00
002286,保龄宝,食品,2.00,3.00,3.50,2.50,3.50,4.80
300542,新晨科技,软件服务,2.12,1.86,3.67,3.67,3.50,1.00
300347,泰格医药,医疗保健,3.50,4.71,3.67,5.33,3.50,5.00
601933,永辉超市,超市连锁,2.75,4.57,3.83,1.83,3.50,4.80
002603,以岭药业,中成药,3.38,5.00,3.50,3.83,3.50,1.00
002864,盘龙药业,中成药,2.75,3.71,3.50,3.67,3.50,4.00
600479,千金药业,中成药,2.88,4.14,3.50,3.67,3.50,4.00
002180,纳思达,电脑设备,2.25,4.29,3.50,3.00,3.50,1.00
300540,深冷股份,专用机械,1.00,1.57,3.83,2.83,3.50,1.00
600683,京投发展,区域地产,2.38,4.29,4.00,3.17,3.50,1.00
001965,招商公路,路桥,2.75,4.71,3.50,3.50,3.50,4.00
002865,钧达股份,汽车配件,2.38,3.57,3.50,4.00,3.50,1.00
601678,滨化股份,化工原料,3.62,4.86,4.00,4.33,3.50,5.00
603085,天成自控,汽车配件,2.25,3.14,3.50,3.67,3.50,1.00
